City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Sorong,ID,2022-09-27 18:41:47,-0.8833,131.25,79.41,84,100,9.48
262,Cherskiy,RU,2022-09-27 18:41:48,68.75,161.3,22.87,83,8,4.21
263,Mananara,MG,2022-09-27 18:38:23,-16.1667,49.7667,65.64,87,0,5.44
264,Pisco,PE,2022-09-27 18:41:48,-13.7,-76.2167,68.05,60,0,18.41
265,Sept-Iles,CA,2022-09-27 18:41:49,50.2001,-66.3821,52.32,93,100,5.99
266,Jodhpur,IN,2022-09-27 18:40:49,26.2867,73.03,84.83,47,4,8.86
267,Japura,ID,2022-09-27 18:41:49,-0.3167,102.35,73.36,96,100,0.36
268,Komsomolskiy,UZ,2022-09-27 18:41:49,40.4272,71.7189,65.12,52,0,4.61
269,Nizhniy Tsasuchey,RU,2022-09-27 18:41:50,50.5167,115.1333,41.63,49,85,9.33
270,Pevek,RU,2022-09-27 18:41:50,69.7008,170.3133,27.79,78,93,4.03
271,Port Hawkesbury,CA,2022-09-27 18:41:50,45.6169,-61.3485,66.78,99,100,9.22
272,Katima Mulilo,NA,2022-09-27 18:41:51,-17.5,24.2667,80.37,18,30,9.71
273,Sawakin,SD,2022-09-27 18:41:51,19.1059,37.3321,87.13,67,0,7.31
274,Sambava,MG,2022-09-27 18:41:52,-14.2667,50.1667,67.59,88,12,11.5
275,Labuhan,ID,2022-09-27 18:41:53,-6.8844,112.2051,76.55,77,23,8.7
276,Khatanga,RU,2022-09-27 18:42:53,71.9667,102.5,20.88,91,100,5.44
277,Dargaville,NZ,2022-09-27 18:42:53,-35.9333,173.8833,55.31,85,99,7.7
278,Paamiut,GL,2022-09-27 18:42:54,61.994,-49.6678,42.69,94,100,17.72
279,Shalya,RU,2022-09-27 18:42:54,57.2471,58.7298,20.32,96,100,2.91
280,Ambilobe,MG,2022-09-27 18:42:54,-13.2,49.05,69.08,67,0,4.9
281,Mhlambanyatsi,SZ,2022-09-27 18:42:56,-26.45,31.0167,60.51,85,2,3.2
282,Garissa,KE,2022-09-27 18:42:56,-0.4536,39.6401,78.71,57,3,22.24
283,Zolotkovo,RU,2022-09-27 18:42:58,55.5281,41.1053,46.26,93,100,10.85
284,Bilma,NE,2022-09-27 18:42:59,18.6853,12.9164,95.16,12,62,5.73
285,Sombrerete,MX,2022-09-27 18:43:00,23.6333,-103.65,64.4,54,71,13.8
286,Changli,CN,2022-09-27 18:39:16,39.7042,119.1506,61.9,74,100,2.93
287,Aguimes,ES,2022-09-27 18:43:00,27.9054,-15.4461,72.66,68,20,19.57
288,Hambantota,LK,2022-09-27 18:43:01,6.1241,81.1185,78.62,84,98,14.2
289,Kilindoni,TZ,2022-09-27 18:43:02,-7.9139,39.6668,76.17,70,8,12.35
290,Maniitsoq,GL,2022-09-27 18:43:02,65.4167,-52.9,43.48,86,100,11.97
291,Mitsamiouli,KM,2022-09-27 18:43:03,-11.3847,43.2844,75.87,75,0,5.44
292,Deep River,CA,2022-09-27 18:41:55,46.1001,-77.4995,58.75,91,100,6.71
